,Document,AnswerType,Label,Value
6845,114,Amazon,ORG,Microsoft Corporation
6846,114,Amazon,ORG,CBS
6847,114,Amazon,ORG,Microsoft
6848,114,Amazon,ORG,Microsoft Corporation
6849,114,Amazon,ORG,VLIT
6850,114,Amazon,ORG,TechNet
6851,114,Amazon,ORG,SAP
6852,114,Amazon,ORG,SAP
6853,114,Amazon,ORG,SAP
6854,114,Amazon,ORG,SAP
6855,114,Amazon,ORG,Origin Digital
6856,114,Amazon,ORG,Origin Digital
6857,114,Amazon,ORG,Origin Digital
6858,114,Amazon,ORG,IDC
6859,114,Amazon,ORG,Microsoft
6860,114,Amazon,LOC,Los Angeles
6861,114,Amazon,ORG,FNOL
6862,114,Amazon,ORG,StateFarm
6863,114,Amazon,ORG,USPS
6864,114,Amazon,ORG,HP
6865,114,Amazon,ORG,Dell
6866,114,Amazon,ORG,Landsend
6867,114,Amazon,ORG,Amazon
6868,114,Amazon,ORG,UPS
6869,114,Amazon,ORG,FedEx
6870,114,Amazon,ORG,USPS
6871,114,Amazon,ORG,USPS
6872,114,Amazon,ORG,Dell
6873,114,Amazon,ORG,WM
6874,114,Amazon,ORG,USPS
6875,114,Amazon,ORG,Starbucks
6876,114,Amazon,ORG,"Coca Cola

Vision"
6877,114,Amazon,ORG,Twitter
6878,114,Amazon,ORG,Facebook
6879,114,Amazon,ORG,Google
6880,114,Amazon,ORG,Facebook
6881,114,Amazon,ORG,Twitter
6882,114,Amazon,ORG,Accenture
6883,114,Amazon,ORG,Abacus
6884,114,Amazon,ORG,Abacus
6885,114,Amazon,ORG,Accenture
6886,114,Amazon,ORG,Bombay Stock Exchange
6887,114,Amazon,ORG,BSE
6888,114,Amazon,ORG,CMC Ltd.
6889,114,Amazon,ORG,Bond
6890,114,Amazon,ORG,Bond Technologies
6891,115,Amazon,PER,Asha Subbaiah
6892,115,Amazon,ORG,Microsoft
6893,115,Amazon,ORG,APAC
6894,115,Amazon,ORG,Microsoft
6895,115,Amazon,LOC,"Bangalore, Karnataka"
6896,115,Amazon,ORG,Microsoft
6897,115,Amazon,ORG,APAC
6898,115,Amazon,ORG,Microsoft
6899,115,Amazon,ORG,APAC
6900,115,Amazon,ORG,APAC
6901,115,Amazon,ORG,GPS
6902,115,Amazon,LOC,India
6903,115,Amazon,LOC,China
6904,115,Amazon,LOC,Korea
6905,115,Amazon,ORG,APAC
6906,115,Amazon,ORG,Microsoft
6907,115,Amazon,LOC,India
6908,115,Amazon,ORG,Google Partners
6909,115,Amazon,ORG,APAC
6910,115,Amazon,ORG,IBM
6911,115,Amazon,LOC,"Bangalore, Karnataka"
6912,115,Amazon,ORG,India Technical Leaders Group
6913,115,Amazon,ORG,ITLG
6914,115,Amazon,ORG,IBM India
6915,115,Amazon,ORG,ITLG
6916,115,Amazon,ORG,IBM
6917,115,Amazon,ORG,IBM
6918,115,Amazon,ORG,IBM
6919,115,Amazon,ORG,IRL-Bangalore
6920,115,Amazon,ORG,IRL-Bangalore
6921,115,Amazon,ORG,IRL-Bangalore
6922,115,Amazon,ORG,EGL
6923,115,Amazon,ORG,IRL
6924,115,Amazon,ORG,GVI
6925,115,Amazon,ORG,WBS
6926,115,Amazon,LOC,Bangalore
6927,115,Amazon,ORG,NMKRV College
6928,115,Amazon,ORG,Bangalore University -
6929,115,Amazon,LOC,"Bangalore, Karnataka"
6930,116,Amazon,PER,Divesh Singh
6931,116,Amazon,LOC,"Bengaluru, Karnataka"
6932,116,Amazon,ORG,Microsoft
6933,116,Amazon,ORG,iGTSC
6934,116,Amazon,LOC,"Bangalore Urban, Karnataka"
6935,116,Amazon,ORG,Microsoft
6936,116,Amazon,ORG,Microsoft
6937,116,Amazon,ORG,Bangalore
6938,116,Amazon,ORG,JAIN COLLEGE
6939,116,Amazon,ORG,"INDIAN ACADEMY PU COLLEGE

ARMY PUBLIC"
6940,117,Amazon,PER,Ramesh chokkala
6941,117,Amazon,LOC,Telangana
6942,117,Amazon,ORG,Microsoft
6943,117,Amazon,ORG,Infosis
6944,117,Amazon,ORG,Google
6945,117,Amazon,ORG,Microsoft
6946,117,Amazon,ORG,Infosis
6947,117,Amazon,ORG,Google
6948,117,Amazon,ORG,btech
6949,117,Amazon,ORG,Trinity engineering college
6950,118,Amazon,PER,Ganesh AlalaSundaram
6951,118,Amazon,LOC,"Chennai, Tamil Nadu, Tamil Nadu"
6952,118,Amazon,ORG,SDET
6953,118,Amazon,ORG,Microsoft
6954,118,Amazon,PER,Cognizant
6955,118,Amazon,ORG,PubSec
6956,118,Amazon,LOC,Dubai
6957,118,Amazon,LOC,Columbia
6958,118,Amazon,LOC,New York
6959,118,Amazon,ORG,MSDN
6960,118,Amazon,ORG,GitHub
6961,118,Amazon,LOC,"New York, NY"
6962,118,Amazon,ORG,Anna University
6963,118,Amazon,ORG,MSDN
6964,118,Amazon,ORG,GIT
6965,119,Amazon,PER,Srinu Naik Ramavath
6966,119,Amazon,LOC,"Serilingampalle, Andhra Pradesh"
6967,119,Amazon,LOC,"Gachibowli, Telangana"
6968,119,Amazon,LOC,"hyderbad, Telangana"
6969,119,Amazon,ORG,Microsoft
6970,119,Amazon,ORG,"G4S

Communication"
6971,119,Amazon,ORG,Microsoft
6972,119,Amazon,ORG,G4S
6973,119,Amazon,LOC,"Hyderabad, Telangana"
6974,119,Amazon,ORG,Acharya Nagarjuna University
6975,119,Amazon,LOC,"Hyderabad, Telangana"
6976,120,Amazon,PER,Puneet Bhandari
6977,120,Amazon,ORG,Microsoft IT
6978,120,Amazon,LOC,"Pune, Maharashtra"
6979,120,Amazon,ORG,SAP
6980,120,Amazon,ORG,Microsoft
6981,120,Amazon,LOC,Mexico
6982,120,Amazon,ORG,JCI
6983,120,Amazon,ORG,Atlas CopCo
6984,120,Amazon,LOC,UK
6985,120,Amazon,ORG,NORDICS
6986,120,Amazon,LOC,Europe
6987,120,Amazon,ORG,Infosys Repository
6988,120,Amazon,ORG,Infosys
6989,120,Amazon,ORG,Telstra
6990,120,Amazon,ORG,Cummins
6991,120,Amazon,ORG,Vodafone
6992,120,Amazon,ORG,Harvard
6993,120,Amazon,ORG,Harvard Business Publishing
6994,120,Amazon,ORG,Microsoft
6995,120,Amazon,ORG,Microsoft
6996,120,Amazon,ORG,IIT
6997,120,Amazon,PER,Roorkee
6998,120,Amazon,PER,Roorkee
6999,120,Amazon,LOC,Uttarakhand
7000,120,Amazon,ORG,Shri Vaishnav
7001,120,Amazon,ORG,Institute of Technology and Science
7002,120,Amazon,ORG,RGPV University
7003,120,Amazon,LOC,"Indore,"
7004,120,Amazon,LOC,Madhya Pradesh
7005,120,Amazon,ORG,"CBSE

St. Paul H.S. School"
7006,120,Amazon,LOC,"Indore,"
7007,120,Amazon,LOC,Madhya Pradesh
7008,120,Amazon,ORG,Shanti Nagar High School
7009,120,Amazon,LOC,Maharashtra
7010,120,Amazon,LOC,"Mumbai,"
7011,120,Amazon,LOC,Maharashtra
7012,120,Amazon,ORG,SKILLS
7013,120,Amazon,ORG,Sd
7014,121,Amazon,PER,Aarti Pimplay
7015,121,Amazon,ORG,Microsoft
7016,121,Amazon,LOC,India
7017,121,Amazon,ORG,Microsoft India
7018,121,Amazon,ORG,GSOC Asia
7019,122,Amazon,LOC,Bangalore
7020,122,Amazon,LOC,"Bengaluru, Karnataka"
7021,122,Amazon,ORG,Microsoft
7022,122,Amazon,PER,Tavarekere
7023,122,Amazon,LOC,"Bengaluru, Karnataka"
7024,122,Amazon,ORG,EDUCATION
7025,122,Amazon,ORG,B.Tech
7026,122,Amazon,ORG,Christ University Faculty of Engineering
7027,122,Amazon,LOC,"Bengaluru, Karnataka"
7028,122,Amazon,ORG,Delhi Public School
7029,122,Amazon,LOC,"Kanpur, Uttar Pradesh"
7030,122,Amazon,ORG,"CBSE

Delhi Public School"
7031,122,Amazon,LOC,"Kanpur, Uttar Pradesh"
7032,123,Amazon,PER,Avani Priya
7033,123,Amazon,ORG,Microsoft
7034,123,Amazon,LOC,"Begusarai, Bihar"
7035,124,Amazon,ORG,Sanand Pal
7036,124,Amazon,ORG,MSBI
7037,124,Amazon,LOC,"Hyderabad, Telangana"
7038,124,Amazon,LOC,"Kolkata, West Bengal"
7039,124,Amazon,LOC,"hyderbad, Telangana"
7040,124,Amazon,ORG,Microsoft
7041,124,Amazon,ORG,Microsoft
7042,124,Amazon,ORG,MICROSOFT
7043,124,Amazon,LOC,"Hyderabad, Telangana"
7044,124,Amazon,ORG,US EPG
7045,124,Amazon,ORG,"US Enterprise Partner
Group"
7046,124,Amazon,ORG,US EPG
7047,124,Amazon,LOC,US
7048,124,Amazon,ORG,Microsoft
7049,124,Amazon,ORG,CorpNet
7050,124,Amazon,ORG,VSTF
7051,124,Amazon,LOC,"Hyderabad, India"
7052,124,Amazon,ORG,East Point
7053,124,Amazon,ORG,College of Engg. & Tech
7054,124,Amazon,LOC,"Bengaluru, Karnataka"
7055,125,Amazon,PER,Partho Sarathi Mitra
7056,125,Amazon,LOC,"Kolkata, West Bengal"
7057,125,Amazon,PER,Mitra
7058,125,Amazon,ORG,Nokia
7059,125,Amazon,ORG,Microsoft
7060,125,Amazon,ORG,Surendranath college
7061,125,Amazon,ORG,Barrackpore
7062,126,Amazon,PER,Pranay Sathu
7063,126,Amazon,LOC,"Hyderabad, Telangana"
7064,126,Amazon,ORG,HP
7065,126,Amazon,LOC,Pune
7066,126,Amazon,LOC,Maharashtra
7067,126,Amazon,LOC,hyderbad
7068,126,Amazon,LOC,Telangana
7069,126,Amazon,LOC,Bangalore
7070,126,Amazon,LOC,", Karnataka"
7071,126,Amazon,PER,Neudesic
7072,126,Amazon,ORG,Vendor
7073,126,Amazon,ORG,@ Microsoft
7074,126,Amazon,ORG,SR ENGINEERING COLLEGE
7075,126,Amazon,ORG,SREC
7076,126,Amazon,ORG,HP
7077,126,Amazon,ORG,HP
7078,127,Amazon,PER,Tanmoy Maity
7079,127,Amazon,LOC,"Kolkata, West Bengal"
7080,127,Amazon,ORG,Infosys
7081,127,Amazon,ORG,microsoft
7082,127,Amazon,ORG,Infosys
7083,127,Amazon,ORG,microsoft
7084,127,Amazon,LOC,"Mrac

Gtti"
7085,127,Amazon,LOC,"Kolkata, West Bengal"
7086,127,Amazon,ORG,Hvac
7087,128,Amazon,PER,Aanirudh Razdan
7088,128,Amazon,LOC,"Jaipur, Rajasthan"
7089,128,Amazon,LOC,"Jaipur, Rajasthan"
7090,128,Amazon,ORG,Norton
7091,128,Amazon,ORG,Windwos
7092,128,Amazon,ORG,Nokia
7093,128,Amazon,ORG,Microsoft
7094,128,Amazon,ORG,Microsoft
7095,128,Amazon,ORG,Tech
7096,128,Amazon,ORG,Jaipur Engineering College and Research Center
7097,128,Amazon,LOC,"Jaipur, Rajasthan"
7098,128,Amazon,ORG,WAC
7099,128,Amazon,ORG,School
7100,128,Amazon,LOC,Jammu
7101,128,Amazon,LOC,Jammu
7102,128,Amazon,LOC,Jammu
7103,128,Amazon,ORG,and
7104,128,Amazon,LOC,Kashmir
7105,128,Amazon,ORG,Air Foce School
7106,128,Amazon,LOC,Jammu
7107,128,Amazon,LOC,Jammu
7108,128,Amazon,LOC,Jammu
7109,128,Amazon,ORG,and
7110,128,Amazon,LOC,Kashmir
7111,129,Amazon,PER,Shiksha Bhatnagar
7112,129,Amazon,LOC,chnadigarh
7113,129,Amazon,ORG,Indeed
7114,129,Amazon,ORG,Microsoft
7115,129,Amazon,LOC,"Chandigarh, Chandigarh"
7116,129,Amazon,ORG,chandigarh
7117,129,Amazon,LOC,"Chandigarh, Chandigarh"
7118,129,Amazon,ORG,Microsoft
7119,130,Amazon,PER,Chhaya
7120,130,Amazon,ORG,Prabhale
7121,130,Amazon,PER,Kharadi
7122,130,Amazon,LOC,Pune
7123,130,Amazon,ORG,DBA
7124,130,Amazon,LOC,"Pune, Maharashtra"
7125,130,Amazon,ORG,Microsoft
7126,131,Amazon,PER,Karthik G V
7127,131,Amazon,LOC,"Secunderabad, Andhra Pradesh"
7128,131,Amazon,ORG,Microsoft
7129,131,Amazon,LOC,India
7130,131,Amazon,LOC,"Hyderabad, Telangana"
7131,131,Amazon,LOC,US
7132,131,Amazon,LOC,UK
7133,131,Amazon,LOC,LATAM
7134,131,Amazon,LOC,Asia Pacific
7135,131,Amazon,LOC,Middle East Regions
7136,131,Amazon,ORG,PGDBM
7137,131,Amazon,PER,Narsee Monji
7138,131,Amazon,LOC,"Hyderabad, Telangana"
7139,131,Amazon,ORG,Microsoft
7140,131,Amazon,ORG,Microsoft
7141,132,Amazon,PER,Mohammed Murtuza
7142,132,Amazon,ORG,Microsoft
7143,132,Amazon,LOC,India
7144,132,Amazon,LOC,"Hyderabad, Telangana"
7145,132,Amazon,PER,Murtuza
7146,132,Amazon,ORG,Microsoft India
7147,132,Amazon,ORG,Microsoft
7148,132,Amazon,ORG,Microsoft
7149,132,Amazon,ORG,Microsoft
7150,132,Amazon,ORG,Cross
7151,132,Amazon,LOC,"Redmond, USA"
7152,132,Amazon,LOC,India
7153,132,Amazon,ORG,Genpact
7154,132,Amazon,LOC,India
7155,132,Amazon,ORG,Schneider Electric
7156,132,Amazon,ORG,Genpact
7157,132,Amazon,LOC,India
7158,132,Amazon,ORG,Microsoft
7159,132,Amazon,ORG,Microsoft
7160,132,Amazon,ORG,Blackberry
7161,132,Amazon,ORG,Genpact India
7162,132,Amazon,ORG,Siemens
7163,132,Amazon,ORG,Genpact India
7164,132,Amazon,PER,Armstrong
7165,132,Amazon,ORG,Microsoft
7166,132,Amazon,ORG,SAP
7167,132,Amazon,ORG,HP
7168,132,Amazon,ORG,HP
7169,132,Amazon,ORG,Osmania University
7170,132,Amazon,LOC,Hyderabad
7171,132,Amazon,LOC,Telangana
7172,132,Amazon,ORG,Osmania University
7173,132,Amazon,LOC,"Hyderabad, Telangana"
7174,132,Amazon,ORG,Microsoft
7175,132,Amazon,ORG,Microsoft
7176,132,Amazon,ORG,Microsoft
7177,132,Amazon,ORG,Microsoft
7178,133,Amazon,PER,Saurabh Saurabh
7179,133,Amazon,LOC,"Bengaluru, Karnataka"
7180,133,Amazon,ORG,Microsoft
7181,133,Amazon,LOC,"Bangalore Urban, Karnataka"
7182,133,Amazon,ORG,Microsoft Virtual Academy
7183,133,Amazon,LOC,Bangalore
7184,134,Amazon,PER,Prabhu Prasad Mohapatra
7185,134,Amazon,LOC,Bhubaneswar
7186,134,Amazon,LOC,Orissa
7187,134,Amazon,ORG,Microsoft
7188,134,Amazon,ORG,Xiaomi
7189,134,Amazon,ORG,Bhagabati Nodal High School
7190,134,Amazon,PER,Sarakana
7191,135,Amazon,PER,Raja Chandra Mouli
7192,135,Amazon,LOC,"Cuddapah, Andhra Pradesh"
7193,135,Amazon,LOC,"Cuddapah, Andhra Pradesh"
7194,135,Amazon,LOC,"Vijayawada, Andhra Pradesh"
7195,135,Amazon,LOC,"Visakhapatnam,
Andhra Pradesh"
7196,135,Amazon,ORG,Microsoft
7197,135,Amazon,LOC,"Cuddapah, Andhra Pradesh"
7198,135,Amazon,LOC,"Cuddapah, Andhra Pradesh"
7199,135,Amazon,LOC,KC Narayana Street
7200,135,Amazon,LOC,madavaram
7201,135,Amazon,PER,Vontimitta
7202,135,Amazon,LOC,Kadapa
7203,136,Amazon,PER,Krishna Prasad
7204,136,Amazon,LOC,"Patna City, Bihar"
7205,136,Amazon,ORG,Microsoft
7206,136,Amazon,LOC,"Patna, Bihar"
7207,136,Amazon,ORG,"EDUCATION

BSc"
7208,136,Amazon,LOC,"Math

Magadh"
7209,136,Amazon,LOC,"Patna, Bihar"
7210,136,Amazon,ORG,BSc
7211,136,Amazon,LOC,"Patna City, Bihar"
7212,137,Amazon,PER,Dushyant Bhatt
7213,137,Amazon,ORG,Big Data
7214,137,Amazon,ORG,Azure
7215,137,Amazon,LOC,Hyderabad
7216,137,Amazon,LOC,"Deccan, Telangana, Telangana"
7217,137,Amazon,ORG,Microsoft
7218,137,Amazon,ORG,Microsoft
7219,137,Amazon,LOC,"hyderbad, Telangana"
7220,137,Amazon,ORG,Microsoft
7221,137,Amazon,ORG,Microsoft
7222,137,Amazon,ORG,Microsoft
7223,137,Amazon,ORG,Bing
7224,137,Amazon,ORG,Microsoft
7225,137,Amazon,ORG,Microsoft
7226,137,Amazon,LOC,US
7227,137,Amazon,LOC,Canada
7228,137,Amazon,LOC,Australia
7229,137,Amazon,ORG,Microsoft
7230,137,Amazon,ORG,Microsoft
7231,137,Amazon,ORG,Microsoft
7232,137,Amazon,ORG,Bing
7233,137,Amazon,ORG,Microsoft
7234,137,Amazon,ORG,Microsoft
7235,137,Amazon,LOC,US
7236,137,Amazon,LOC,Canada
7237,137,Amazon,LOC,Australia
7238,137,Amazon,ORG,Microsoft
7239,137,Amazon,ORG,SAP
7240,137,Amazon,ORG,ICOE
7241,137,Amazon,ORG,Saurashtra University
7242,137,Amazon,LOC,Morbi
7243,137,Amazon,LOC,Gujarat
7244,138,Amazon,PER,Soumya Balan
7245,138,Amazon,PER,Sulthan Bathery
7246,138,Amazon,LOC,Kerala
7247,138,Amazon,LOC,Kerala
7248,138,Amazon,ORG,Microsoft
7249,138,Amazon,ORG,Microsoft Corporation
7250,138,Amazon,ORG,Microsoft India Global Technical Support Center
7251,138,Amazon,ORG,"Microsoft
IGTSC"
7252,138,Amazon,LOC,Bangalore
7253,138,Amazon,ORG,Microsoft
7254,138,Amazon,ORG,Microsoft
7255,138,Amazon,ORG,Microsoft
7256,138,Amazon,ORG,VECW
7257,138,Amazon,ORG,Oracle University
7258,138,Amazon,ORG,Infosys Mysore
7259,138,Amazon,ORG,HCL
7260,138,Amazon,LOC,Pondicherry
7261,138,Amazon,ORG,BE
7262,138,Amazon,ORG,Vivekananda Engineering College for Women
7263,138,Amazon,LOC,"Chennai, Tamil Nadu"
7264,138,Amazon,ORG,BTEC
7265,138,Amazon,ORG,HNC
7266,138,Amazon,ORG,in
7267,138,Amazon,ORG,Frankfinn Institute of Airhostess Training
7268,138,Amazon,LOC,"Calicut, Kerala"
7269,138,Amazon,ORG,Microsoft
7270,138,Amazon,ORG,MS
7271,138,Amazon,ORG,Microsoft
7272,139,Amazon,PER,pradeep chauhan
7273,139,Amazon,PER,pradeep chauhan
7274,139,Amazon,LOC,Noida
7275,139,Amazon,LOC,Uttar Pradesh
7276,139,Amazon,LOC,"Noida, Uttar Pradesh"
7277,139,Amazon,ORG,microsoft
7278,139,Amazon,LOC,"Noida, Uttar Pradesh"
7279,139,Amazon,LOC,Noida
7280,139,Amazon,LOC,Uttar Pradesh
7281,140,Amazon,PER,"Akansha Jain
Pune"
7282,140,Amazon,LOC,Maharashtra
7283,140,Amazon,ORG,Microsoft
7284,140,Amazon,LOC,"Pune, Maharashtra"
7285,140,Amazon,ORG,Microsoft
7286,140,Amazon,ORG,"EDUCATION

B.TECH"
7287,140,Amazon,ORG,GRAPHIC ERA UNIVERSITY
7288,140,Amazon,LOC,Dehra
7289,140,Amazon,PER,Dun
7290,140,Amazon,LOC,Uttarakhand
7291,140,Amazon,ORG,STEPPING STONES SCHOOL
7292,140,Amazon,ORG,SECONDRY SCHOOL
7293,140,Amazon,ORG,STEPPING STONES SCHOOL
7294,140,Amazon,ORG,Microsoft
7295,140,Amazon,PER,Akansha Jain
7296,140,Amazon,LOC,Pune
7297,141,Amazon,PER,Rishabh
7298,141,Amazon,PER,"soni
Anuppur"
7299,141,Amazon,LOC,Madhya Pradesh
7300,141,Amazon,ORG,Microsoft
7301,141,Amazon,ORG,-tech
7302,141,Amazon,ORG,CSE
7303,141,Amazon,ORG,IIT Delhi
7304,142,Amazon,PER,Paul Rajiv
7305,142,Amazon,LOC,"Secunderabad, Andhra Pradesh"
7306,142,Amazon,ORG,Microsoft
7307,142,Amazon,LOC,"hyderbad, Telangana"
7308,142,Amazon,LOC,India
7309,142,Amazon,LOC,PAN India
7310,142,Amazon,LOC,SAARC
7311,142,Amazon,PER,Chief
7312,142,Amazon,LOC,India
7313,142,Amazon,LOC,India
7314,142,Amazon,LOC,India
7315,142,Amazon,ORG,PAN India
7316,142,Amazon,LOC,Telangana
7317,142,Amazon,ORG,SAARC
7318,142,Amazon,LOC,india
7319,142,Amazon,ORG,Osmania University
7320,142,Amazon,LOC,"Hyderabad, Andhra Pradesh"
7321,142,Amazon,ORG,Board of
7322,142,Amazon,ORG,Education
7323,142,Amazon,ORG,"SSC

St. Patrick's High School"
7324,142,Amazon,ORG,DELL
7325,142,Amazon,ORG,Dell International Services
7326,142,Amazon,LOC,UK
7327,142,Amazon,LOC,Ireland
7328,142,Amazon,ORG,Dell
7329,142,Amazon,ORG,Dell
7330,142,Amazon,LOC,India
7331,142,Amazon,ORG,FAB Motors India Pvt. Ltd
7332,142,Amazon,ORG,Masqati India Pvt. Ltd
7333,142,Amazon,LOC,India
7334,143,Amazon,PER,"Karan Turkar
Balaghat"
7335,143,Amazon,LOC,Madhya Pradesh
7336,143,Amazon,ORG,Microsoft
7337,144,Amazon,PER,Akshay Dubey
7338,144,Amazon,ORG,.NET
7339,144,Amazon,LOC,"Pune, Maharashtra"
7340,144,Amazon,LOC,"Pune, Maharashtra"
7341,144,Amazon,ORG,Microsoft
7342,144,Amazon,ORG,MICROSOFT
7343,144,Amazon,ORG,Microsoft Student Partners
7344,144,Amazon,ORG,MSP
7345,144,Amazon,ORG,Microsoft
7346,144,Amazon,ORG,Microsoft Campus Club
7347,144,Amazon,ORG,Microsoft
7348,144,Amazon,PER,CEO
7349,144,Amazon,ORG,Microsoft
7350,144,Amazon,PER,Satya Nadella
7351,144,Amazon,ORG,Microsoft
7352,144,Amazon,ORG,MICROSOFT
7353,144,Amazon,ORG,Microsoft
7354,144,Amazon,ORG,Microsoft
7355,144,Amazon,ORG,Microsoft
7356,144,Amazon,ORG,Microsoft Student User Group
7357,144,Amazon,ORG,"B.E

Sinhgad Institute"
7358,144,Amazon,LOC,Maharashtra
7359,144,Amazon,LOC,"Lonavale,"
7360,144,Amazon,LOC,Maharashtra
7361,144,Amazon,LOC,Maharashtra
7362,144,Amazon,ORG,Pune University
7363,144,Amazon,LOC,Lonavale
7364,144,Amazon,LOC,Maharashtra
7365,144,Amazon,ORG,.NET
7366,145,Amazon,PER,Sayani Goswami
7367,145,Amazon,LOC,"Kolkata, West Bengal"
7368,145,Amazon,PER,Goswami
7369,145,Amazon,ORG,MICROSOFT
7370,145,Amazon,ORG,"EDUCATION

Periyar University"
7371,145,Amazon,ORG,Joydev Road Girls High School
7372,145,Amazon,PER,Barddhaman
7373,145,Amazon,LOC,West Bengal
7374,146,Amazon,PER,Sweety Garg
7375,146,Amazon,LOC,"Bengaluru, Karnataka"
7376,146,Amazon,ORG,Microsoft
7377,146,Amazon,LOC,"Bangalore Urban, Karnataka"
7378,146,Amazon,ORG,SRM University
7379,146,Amazon,LOC,"Chennai, Tamil Nadu"
7380,146,Amazon,ORG,"Engineering

Central Academy School"
7381,146,Amazon,ORG,Microsoft
7382,147,Amazon,PER,Ramkrishan Bhatt
7383,147,Amazon,LOC,"Bengaluru, Karnataka, Karnataka"
7384,147,Amazon,ORG,Microsoft
7385,147,Amazon,LOC,"Bengaluru, Karnataka"
7386,147,Amazon,ORG,Jupiter
7387,147,Amazon,ORG,US
7388,147,Amazon,PER,Mongo
7389,147,Amazon,LOC,"Ajmer, Rajasthan"
7390,147,Amazon,ORG,BCA
7391,147,Amazon,LOC,"Kota, Rajasthan"
7392,148,Amazon,PER,"B. Gokul
Gokul"
7393,148,Amazon,LOC,Uttar Pradesh
7394,148,Amazon,ORG,Microsoft
7395,148,Amazon,ORG,"Government

State board"
7396,148,Amazon,ORG,SSLC
7397,148,Amazon,ORG,board
7398,148,Amazon,ORG,"UNIVERSITY

B.SC"
7399,148,Amazon,ORG,Periyar University
7400,148,Amazon,LOC,"Salem, Tamil Nadu"
7401,149,Amazon,PER,Anand S
7402,149,Amazon,LOC,"Bangalore, Karnataka"
7403,149,Amazon,ORG,Microsoft
7404,149,Amazon,PER,Vijaya
7405,149,Amazon,PER,"Vijaya

SKILLS"
7406,150,Amazon,PER,"Krishna Prasad
Patna"
7407,150,Amazon,LOC,","
7408,150,Amazon,LOC,Bihar
7409,150,Amazon,LOC,"Patna, Bihar"
7410,150,Amazon,LOC,"Danapur, Bihar"
7411,150,Amazon,ORG,"Microsoft

EDUCATION

BSc"
7412,150,Amazon,ORG,Magadh university
7413,150,Amazon,LOC,"Patna, Bihar"
7414,151,Amazon,PER,Saurabh Sandhikar
7415,151,Amazon,PER,SAURABH SANDHIKAR
7416,151,Amazon,LOC,"Hyderabad, Telangana"
7417,151,Amazon,LOC,"hyderbad, Telangana"
7418,151,Amazon,ORG,AMAZON
7419,151,Amazon,ORG,Amazon
7420,151,Amazon,LOC,UK
7421,151,Amazon,LOC,NA
7422,151,Amazon,ORG,Amazon
7423,151,Amazon,ORG,Amazon
7424,151,Amazon,ORG,amazon
7425,151,Amazon,ORG,flex
7426,151,Amazon,ORG,Microsoft
7427,151,Amazon,ORG,Microsoft
7428,151,Amazon,ORG,Microsoft
7429,151,Amazon,ORG,"CSE

Gandhi Institute of Science And Technology ("
7430,151,Amazon,ORG,GITAM) University
7431,151,Amazon,ORG,Delta Academy
7432,151,Amazon,ORG,IIT
7433,151,Amazon,ORG,JEE
7434,151,Amazon,ORG,St Georges Grammar School
7435,151,Amazon,ORG,Microsoft
7436,151,Amazon,ORG,Microsoft
7437,151,Amazon,ORG,Microsoft
7438,151,Amazon,ORG,Computer Society of India
7439,151,Amazon,PER,Ankit Fadia
7440,152,Amazon,PER,Priyesh Dubey
7441,152,Amazon,ORG,"Dot Net
Technologies"
7442,152,Amazon,LOC,"Hyderabad, Telangana"
7443,152,Amazon,LOC,Pune
7444,152,Amazon,LOC,Maharashtra
7445,152,Amazon,LOC,"Hyderabad, Telangana"
7446,152,Amazon,LOC,Bangalore
7447,152,Amazon,LOC,Karnataka
7448,152,Amazon,PER,Cognizant
7449,152,Amazon,LOC,"Hyderabad, Telangana"
7450,152,Amazon,ORG,Microsoft
7451,152,Amazon,LOC,Hyderabad
7452,152,Amazon,ORG,Philips India Limited
7453,152,Amazon,LOC,Bangalore
7454,152,Amazon,ORG,Wipro Technologies
7455,152,Amazon,ORG,Azure
7456,152,Amazon,ORG,Moq
7457,152,Amazon,ORG,Microsoft
7458,152,Amazon,ORG,Microsoft
7459,152,Amazon,PER,MANIT
7460,152,Amazon,ORG,Microsoft
7461,152,Amazon,ORG,IBM
7462,152,Amazon,ORG,Microsoft
7463,153,Amazon,ORG,"Laya A
Cluster"
7464,153,Amazon,LOC,Velammal
7465,153,Amazon,PER,New
7466,153,Amazon,LOC,"Chennai, Tamil Nadu"
7467,153,Amazon,PER,Velammal
7468,153,Amazon,LOC,"Chennai, Tamil Nadu"
7469,153,Amazon,LOC,Velammal
7470,153,Amazon,LOC,new gen park
7471,153,Amazon,PER,Kinder -  Cherthala
7472,153,Amazon,LOC,"KERALA, IN"
7473,153,Amazon,PER,Leonine Info
7474,153,Amazon,ORG,@ Infosys
7475,153,Amazon,LOC,"Bengaluru, Karnataka"
7476,153,Amazon,LOC,"Bangalore, India"
7477,153,Amazon,ORG,"UIT

Kerala University"
7478,153,Amazon,ORG,Microsoft
7479,153,Amazon,ORG,Microsoft
7480,154,Amazon,PER,Vishwanath P
7481,154,Amazon,ORG,"LabourNet Services India
Pvt Ltd"
7482,154,Amazon,LOC,"Bengaluru, Karnataka"
7483,154,Amazon,ORG,LabourNet Services India Pvt Ltd
7484,154,Amazon,ORG,Pan India
7485,154,Amazon,ORG,Pan India
7486,154,Amazon,ORG,CLCS
7487,154,Amazon,ORG,CLCS
7488,154,Amazon,ORG,RMS
7489,154,Amazon,ORG,RMS
